MarkerNum,Atlas_Number,Title,IndexName,Address,City,County,CountyId,Utm_Zone,Utm_East,Utm_North,Code,Year,Rthl,Htc,Loc_Desc,PrivateProperty,ConditionText,Size,MarkerText,HasFiles,HasImages,HasMapLocation
11747,5029011747,Krause House/Mann's Crossing Post Office,Krause House/Mann's Crossing Post Office,"8551 Old Pearsall Road                                                                                                                                                                                  ",San Antonio,Bexar,15,14,532489,3241877,"post office; cabins, log houses; houses, residential buildings",1999,True,False,,False,In Situ,"27"" x 42""","Anton F. Krause and Johanna Roesler emigrated from Austria to Texas in 1854. Like many new arrivals, they walked most of the way from the Texas coast to San Antonio, where they were married in the San Fernando Church in May 1855. In 1875 they sold their San Antonio store and saloon and moved with their six children to southwestern Bexar County near Mann's Crossing. The family purchased 101 acres in 1875 and a smaller tract including this site in 1876. They built a small log cabin and stone kitchen that year with the help of neighbors, including family friend and stonemason Henry Nentwich, whose daughter Elizabeth later married the Krauses' son Charles. The logs were hewn from local elm trees and the sandstone was found nearby. Additions were made as the family grew over the years. From January 1879 to November 1880 and again from September to December 1886, Anton Krause served as postmaster of Mann's Crossing, using his house as the post office. Krause and his sons also were active in law enforcement, and the house was used by Texas Rangers and federal agents to hold prisoners at various times. Typical of the gradual development of rural farmsteads evolving from a single pen log cabin, this house includes typical features of a vernacular farmhouse such as the original log core structure, board-and-batten siding on extensions, standing seam metal roof and box eaves. Its very survival is historically significant. The Krause land was designated a family land heritage farm in 1975. Recorded Texas Historic Landmark - 1999",False,False,True
11748,5029011748,Saint Philip's College,Saint Philip's College,"1801 Martin Luther King Dr.                                                                                                                                                                             ",San Antonio,Bexar,15,,,,African American topics; educational topics; Episcopal denomination,1998,False,False,"St. Philip's campus, corner of Walters St. & Maryland St. Temporarily removed Feb. 2007 for construction.",False,In Situ,"27"" x 42""","St. Philip's Industrial School, founded March 1, 1898, was born of strong support from the Rt. Rev. James Steptoe Johnston, bishop of the Episcopal Diocese of West Texas, and the parishioners of St. Philip's Church. The church congregation, seeking a Christian-oriented education for African Americans, organized a sewing class that soon evolved into a vocational day school for black children in the rectory of St. Philip's Church at 306 La Villita Street. The program soon moved into a brick schoolhouse behind the church and was funded by student fees and private donations. Artemisia Bowden was hired as principal and teacher in 1902 and she immediately focused her efforts on expanding the school's curriculum, enrollment and staff. Bishop Johnston's successor, William T. Capers, participated in fundraising efforts. In 1911, the school became known as St. Philip's Normal Grammar and Industrial School and in 1918 the school moved to a new four-acre campus near this site. St. Philip's became a junior college in 1927, and through a tireless campaign waged by President Bowden it became a branch of the San Antonio Junior College System, offering liberal arts and vocational studies as a public school. When the U. S. Supreme Court's 1954 Brown vs. Board of Education decision prompted desegregation across the country, St. Philip's began serving students from all backgrounds. In 1998, 100 years after its founding, St. Philip's College reported an enrollment of nearly 9,000 students from a variety of racial and ethnic backgrounds. The college continues to uphold ;the standards set for it by its founders and leaders. (1998)",False,False,True
11749,5029011749,Saint Philip's Episcopal Church,Saint Philip's Episcopal Church,"1310  Pecan Valley Dr.                                                                                                                                                                                  ",San Antonio,Bexar,15,,,,churches; African American topics; Episcopal denomination,1998,False,False,,False,In Situ,"27"" x 42""","In 1877 Bishop R. W. Elliott of the Missionary District of West Texas envisioned a church for the nearly four million recently freed black citizens of Texas. His campaign for sunday Schools and other religious services for African Americans was cut short by his retirement, but his actions carved a path for the future. Under the authority of Bishop James Steptoe Johnston, the first Episcopal Church for African Americans in the Diocese of West Texas was established in 1895. The first home of ""St. Philip's Episcopal Church for Negroes"" was an old German Methodist church in downtown San Antonio later known as La Villita. In 1898, the church began a vocational school for African American young people which in 1923 became known as St. Philip's College. After many years at La Villita, the congregation was forced to find other homes. Beginning in 19917, several locations served in turn as houses of worship for St. Philip's. A new church was erected on Pecan Valley Drive in 1963; it remained the only predominantly African American church in the diocese until 1964. A full parish since 1967, St. Philip's provides support for many Episcopal programs and funds and is active in community outreach and fellowship. (1998)",False,False,True
11750,5029011750,San Antonio River Walk (Paseo Del Rio),San Antonio River Walk (Paseo Del Rio),"                                                                                                                                                                                                        ",San Antonio,Bexar,15,,,,parks; Federal programs; water topics,1996,False,False,Losoya St. at Commerce St. bridge (north side),False,In Situ,"27"" x 42""","In September 1921 the flooding of the San Antonio River reached as high as eight feet in the center of the city. Loss of lives and property damage were high, and prompted city officials to take action to prevent a recurrence. The Olmos Dam was built and a city engineering report recommended filling and paving the river bend. Protests from the city Federation of Women's Clubs and the San Antonio Conservation Society convinced municipal leaders to view the river as an asset to be preserved. San Antonio architect Robert H. H. Hugman (1902-1980) developed beautification plans for the river area including walks, foot bridges, landscaping, and retail shops. In 1929 Hugman, W. P. Drought, and city leaders helped Congressman Maury Maverick, Mayor C. K. Quin, and Jack White develop support that led to a Federal Works Progress Administration (WPA) grant to fund the project. In 1938, Hugman was hired as the project architect and Edwin P. Arneson as the project engineer. By 1941 the River Walk was completed. During the 1960s voters approved a bond for improvements including extending the walk to the convention center. A source of pride for San Antonio, the River Walk is one of its most unique attractions. (1997) Supplemental Plate: Sponsors: San Antonio Conservation Society Paseo Del Rio Association",False,False,False
11751,5029011751,John Lang Sinclair,"Sinclair, John Lang","                                                                                                                                                                                                        ",San Antonio,Bexar,15,,,,music,2000,False,False,Alamo Masonic Cemetery - 1700 E. Commerce St.,False,In Situ,"27"" x 42""","(November 26, 1879 - January 4, 1947) In 1899, John Lang Sinclair became a student at the University of Texas (UT) in Austin. The first UT band was formed in 1900 and Sinclair, possessing an aptitude for music, joined it as well as the Glee Club. The student head of the Glee Club, Lewis Johnson, urged Sinclair to write a school song in 1903. His first attempt was ""The Jolly Students of Varsity."" His second, to the tune of ""I've Been Working on The Railroad,"" was ""The Eyes of Texas Are Upon You."" UT President William L. Prather, formerly a student at Washington College (later Washington and Lee University), had often heard Robert E. Lee admonish his students, ""The Eyes of The South Are Upon You."" Prather altered the saying for use at UT, and Sinclair borrowed it for his song. ""The Eyes of Texas,"" first performed at a minstrel show at Austin's Hancock Opera House to benefit the UT track team, was an instant success. Sinclair graduated in 1904 and returned to his family's dairy farm in eastern Bexar County. When Prather died in 1905, his family requested a performance of ""The Eyes of Texas"" at his funeral. Sinclair moved to New York City, where he and his wife, Stella Anderson of San Antonio (also a UT graduate) were active in the New York Texas Exes' Association. The song was so popular throughout the nation that many confused it with the official state song of Texas. After years of copyright battles, the UT acquired the rights to it in the 1980s. According to the university magazine ""The Alcalde,"" the chimes atop the UT tower played ""The Eyes of Texas"" during Sinclair's San Antonio funeral. Though he revised the words from the original version, the spirit of the song remained the same. Its popularity continues at the dawn of the 21st century. (2000)",False,False,True
11752,5029011752,Zion Lutheran Church,Zion Lutheran Church,9944 Leslie Road,San Antonio (Helotes),Bexar,15,,,,Lutheran denomination; churches; German immigrants/immigration,1997,True,False,,False,In Situ,Medallion & Plate,"Erected in 1906, the Zion Lutheran Church was designed and built by church members in the uniquely American Carpenter Gothic tradition. Skilled at the construction of houses and barns, the farmers of Helotes created a church building reminiscent of their native German countryside. The central projecting tower entry and Gothic arched windows, which vary in size, define the facade. A new sanctuary was built in 1950 and the original was restored in 1991 using the original wood siding. Recorded Texas Historic Landmark - 1997",False,True,True
12345,5029012345,Site of the Home of Dr. Ferdinand Ludwig Herff,"Herff, Dr. Ferdinand Ludwig, Site of the Home of","414 Navarro                                                                                                                                                                                             ",San Antonio,Bexar,15,,,,medical topics and health professionals; German immigrants/immigration,2000,False,False,on the south/River side of the building,False,In Situ,"27"" x 42""","Ferdinand Ludwig Von Herff (1820-1912) was the son of Christian and Eleanora (Von Meusebach) Herff, prominent citizens of Darmstadt, Germany. The younger Von Herff studied in Giessen, Bonn and Berlin, graduating with a medical degree in 1843. He served as a surgeon in the Hessian army, achieving recognition in plastic surgery, cataract extraction and tuberculosis treatment. In 1847 he joined a group known as Die Vierziger (The Forty), who founded an idealistic commune in Texas called Bettina (near present Castell). The utopian enterprise failed within a year, and Von Herff returned to Germany, where he was pressed into military service during the German Revolution. He married Mathilde Klingerhöeffer (1823-1910) in 1849, and they were on the way back to Texas by year's end. The couple dropped the title ""Von"" from their name when they became American citizens. They lived briefly in New Braunfels, then settled in San Antonio in 1850. Active in city, cultural and medical affairs, Herff was a city alderman from 1850 to 1851. He helped form the Bexar County Medical Society and was a charter member of the Texas Medical Association in 1853. In 1855 he built a home on this site. Herff served as city health officer in 1860. Although he was a Confederate Army surgeon during the Civil War, his Union sympathies were known. In 1869, he was instrumental in founding San Antonio's first infirmary, operated by the Sisters of Charity of the Incarnate Word. Herff served on the Texas State Board of Medical Examiners in 1880 and continued his general medical practice until 1908, performing his last surgery at age 87. He died in his home on the river in 1912. (2000) ",False,False,True
12360,5029012360,"San Antonio Section, National Council of Jewish Women","San Antonio Section, National Council of Jewish Women","210 Alamo Plaza                                                                                                                                                                                         ",San Antonio,Bexar,15,14,549810,3255161,"Jewish topics; women, women's history topics; women's clubs",2000,False,False,"Menger Hotel sidewalk, facing Alamo Plaza",False,In Situ,"18"" x 28""","On May 13, 1907, the San Antonio Section of the National Council of Jewish Women was organized in the Menger Hotel. Anna Hertzberg was elected president by the 15 charter members. The council immediately became active in the development of social services in the city, establishing a night school to provide English instruction to adult immigrants and organizing projects to address such concerns as literacy and public health. In the 1930s, members established a neonatal and well baby clinic. They set up a day care center for working mothers in support of the 1940s war effort and developed the Lighthouse for the Blind during that time, as well. The council continues its work, assessing the needs of the community and creating or assisting agencies to assume council-initiated projects as self-sustaining interests. (2000) ",False,False,True
12443,5029012443,Kelly Air Force Base,Kelly Air Force Base,"3130 General Hudnell Drive                                                                                                                                                          ",San Antonio,Bexar,15,14,542756,3250478,World War II; aviation; military topics,2001,False,False,"Port San Antonio, Lindbergh Park. Marker is in storage as of Dec. 2019 pending relocation.",False,In Storage,"27"" x 42""","As World War I raged in Europe, the United States began to build up and expand its military aviation forces. In his search for a new army aviation training site, Maj. Benjamin Foulois found 700 acres of flat farmland with a water supply near the Missouri-Pacific rail line, then seven miles south of San Antonio. With the help of U.S. Senator Morris Sheppard of Texas, the site was acquired and cleared. Aviation operations began here on April 5, 1917, the day before the United States declared war on Germany. Kelly Field, named for George Edward Maurice Kelly, the first military pilot killed in a plane crash at nearby Fort Sam Houston in 1911, trained aviators, mechanics and support personnel for war duty. After additional land was acquired, the field was divided into Kelly Number 1 (later renamed Duncan Field) and Kelly Number 2. The Air Service Advanced Flying School, which headquartered at Kelly Number 2, trained pilots including Charles Lindbergh, Curtis LeMay and numerous future Air Force chiefs of staff. During World War II, Kelly saw a tremendous increase in its civilian and military workforce, including women, who were known as ""Kelly Katies."" After the Air Force became an independent military service in 1947, the field became known as Kelly Air Force Base. Personnel at Kelly were significantly involved with air transport and maintenance during the Korean conflict, the Cold War, Desert Shield and Desert Storm. Once the largest employer in San Antonio, Kelly Air Force Base realigned in 2001 in response to peacetime defense spending cuts. (2001)",False,False,True
12462,5029012462,Stinson Airport,Stinson Airport,8535 Mission Rd.,San Antonio,Bexar,15,14,551610,3245738,"World War II; aviation; women, women's history topics; military topics",2001,False,False,,False,In Situ,"27"" x 42""","Established by the Stinson family of aviation pioneers, Stinson Airport has witnessed the history of aviation from barnstormers to jets. Alabama native Katherine Stinson (1891-1977), hoping to win prize money to finance her musical education, convinced famed flight instructor Max Lillie of Chicago to take her on as a student in 1912. She became the fourth licensed woman pilot in the U. S. and began touring as a stunt pilot. Her family - mother Emma, sister Marjorie, and brothers Eddie and Jack- established the Stinson Aviation Company in Hot Springs, Arkansas. Marjorie and Eddie trained at the Wright Flying School in Ohio and also became pilots. In 1913, Max Lillie encouraged the Stinsons to move to San Antonio where the army had granted him permission to use the parade ground at Fort Sam Houston. Soon Katherine and Marjorie were offering instruction to U. S. and Canadian military pilots. The family leased 500 acres at this site from the city in 1916 and established Stinson Field. After the ban of civilian flights during World War I, Stinson Field became the city's civil airport in 1918. Charles Lindbergh kept an airplane and flew out of Stinson while he was stationed at Brooks Field. In the 1930s, commercial airlines began using the airport and construction of a new terminal building with Works Progress Administration funds enhanced the facility. During World War II it once again became an Army Air Corps training facility. Returned to civilian use after the war, Stinson Field became the primary general aviation airport for the city of San Antonio. (2001) ",False,False,True
12539,5029012539,La Quinta de las Piedras (Miguel Menchaca House),La Quinta de las Piedras,19801 Scenic Loop Rd.,Helotes,Bexar,15,,,,"houses, residential buildings",1965,True,False,,False,In Situ,Medallion & plate,"Home of Miguel Menchaca, descendant of prominent Canary Islanders who came to texas 1731. Stone villa built in 1850's. In its thick rock walls are ""gun-slits"" for observation, defense. Spring under house supplied water in times of siege. Recorded Texas Historic Landmark, 1965.",False,False,True
12610,5029012610,Old Military Hospital,"Military Hospital, Old","                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,549189,3255317,hospitals; cowboys; military topics,1965,False,False,"Soledad Street, south of Houston Street. Marker reported missing Apr. 2013.",False,Missing,"18"" x 28""","Operated at this site 1861-1865, as San Antonio was a hub of Civil War troops and supply. Drew casualties and the sick of frontier commands from the Red River to Rio Grande. In camps, farm boys took whooping cough, measles--from first exposure in their lives. Convalescents and volunteer local ladies were nurses. City homes sent in delicate foods; patients ate well. To cope with medical shortage, doctors had local people gather wild herbs: foxglove, mullein, jimson, poke. Encouraged patriots to supply narcotics by growing and milking garden poppies. (1965)",False,False,False
12645,5029012645,Chihuahua Trail,Chihuahua Trail,Castroville Road,San Antonio,Bexar,15,14,540019,3253375,"cattle, cattle industry topics",1965,False,False,NE corner of Castroville and Acme roads. Marker reported missing Oct. 2017.,False,Missing,"18"" x 28""","This is route of an old Indian road, often path for Apache and Comanche depredations in Texas. Passed Castroville, Uvalde, Horsehead crossing on the Pecos; went through Presidio into northern Mexico. In some stretches, water holes were 40 miles apart. Men chewed boots, to slake thirst. At smell of water, oxen ran. Texans' commercial use began in 1835. Leather, silver, other metals came here over the road in big-wheel Mexican carts. On south to seaports went some of the goods. In the Civil War, the route brought rope, hats, shoes, salt and other goods to Texas.",False,False,True
12646,5029012646,The Battle of the Medina,"Medina, the battle of the",Martinez Losoya St.,Losoya,Bexar,15,14,551241,3234639,military topics; Mexican Texas,1936,False,False,SE corner Martinez-Losoya Street and US 281. Marker reported damaged Dec. 2008.,False,Damaged,1936 Texas Centennial historical marker (gray granite),"The Battle of the Medina was fought here on August 18, 1813 by an army of Spanish royalists commanded by General Jose Joaquin Arredondo which defeated with terrific slaughter the Republican Army of the North composed of Anglo-Americans, Mexicans and Indians commanded by Jose Alvarez de Toledo. Thus ended an attempt to free Texas and Mexico from Spanish rule. Erected by the State of Texas 1936",False,False,True
12648,5029012648,Confederate Tannery,Confederate Tannery,3903 N. St. Mary's St.,San Antonio,Bexar,15,14,551117,3259305,manufacturing; Civil War,1965,False,False,"Brackenridge Park, San Antonio Zoo, near Cypress Pavilion, about 200 feet E of roundabout on St. Mary's St. and Tuleta Dr. Marker reported missing Jan. 2022.",False,Missing,"18"" x 28""","To fill footwear, harness and saddlery needs of the South; established 1863 on this site, then 2 miles above city limits. Operated in summer as well as winter, because tanning agent, a soup made of chopped mesquite wood, soaked deeply into hides. Thus, unlike other tannins, this prevented loss in hot weather. Plant treated 6,000 hides at a time. Shoemakers of Confederate Texas were to be concentrated here. A cotton and woolen mill, run by San Antonio River power, was also built on plant site. Other wartime Texas products included salt, hats, cotton cards. (1965)",False,False,True
12649,5029012649,Old Military Headquarters,"Military Headquarters, Old","107 East Houston                                                                                                                                                                                        ",San Antonio,Bexar,15,14,549371,3255352,military topics,1965,False,False,"107 East Houston, inside Gunter Hotel",False,In Situ,"18"" x 28""","In a 2-story stone building, afterwards a hotel, Vance House. Established as administrative offices for U.S. army during the Mexican War, 1846-1847. At this site on Feb. 16, 1861, Gen. David E. Twiggs surrendered $1,600,000 in Federal property to forces of Confederate Texas. For a year headquarters for Texas Military Affairs, which were later administered from Houston, Bonham and Shreveport. Site is part of complex of San Antonio military tradition that extends from early Spanish day, to the Alamo, to 20th century.",False,False,True
12806,5029012806,Site of Geier and Schmid Farm,"Geier and Schmid Farm, Site of","12900 Mount Olympus                                                                                                                                                                                     ",Universal City,Bexar,15,14,566668,3271855,cemetery; farms; German immigrants/immigration,2001,False,False,"Olympia Hills Golf Course, 12th hole, right side approaching green",False,In Situ,"27"" x 42""","This site was once the farm of German immigrants Martin Schmid and Wilhelm Geier. Wilhelm, his wife, Theodora, and their daughter, Johanna, immigrated to Texas from Wolfenbuettel, arriving at the Port of Galveston in 1849. They moved inland and settled first in New Braunfels, where Johanna Geier married Martin Schmid, from the state of Wuerttemberg, in 1854. Martin, Johanna and her parents moved to the new community of Selma, then known as Cibolo, in 1855. They bought 127 acres of land and established a farm for each family. In 1869, Geier and Schmid agreed to split the land, each receiving a portion. Martin and Johanna Schmid reared four children in Selma: William, Sam, Sedonia Haile and Mary Elizabeth Wuest. Martin, a Civil War veteran who served under Capt. Theodore Podewils' 32nd Regiment of the Texas Cavalry, died in 1880 and was buried in this immediate area, thus establishing the Schmid family cemetery. Johanna remained on the farm until 1894, when she sold it and moved to San Antonio. She, along with her parents, two of her infant children, son William and daughter Sedonia, were buried in the family cemetery. All original fencing and tombstones have disappeared from the Schmid family cemetery, as they have from the Kincaid family cemetery, which lies 100 yards northwest. Kentucky native David Kincaid moved his family to this area and was the town blacksmith. His wife, Talitha; their daughters Esther Ada Kincaid Wallace and Josephine P. Kincaid; and Talitha's father, John Davis, are buried in the Kincaid cemetery. Their stories reflect the patterns of settlement and rural life in this part of Texas in the 19th century.  (2001) ",False,False,True
12947,5029012947,Anna Barbara and Johann Engelbert Heidgen House,"Heidgen, Anna Barbara and Johann Engelbert, House","121 Starr                                                                                                                                                                                               ",San Antonio,Bexar,15,14,550213,3255305,"houses, residential buildings; vernacular (Architectural term); German immigrants/immigration; women",2003,True,False,121 Starr,False,In Situ,"27"" x 42""","Anna Barbara (Heiman) (1828-1913) and Johann Engelbert (1821-1915) Heidgen (also Heitgen) came from Prussia to San Antonio in 1852. They bought property at this site, which at the time was on the eastern edge of the Irish Flats neighborhood. Their first house was a one-story caliche structure that faced Elm Street. Later additions accommodated the growing family, which included thirteen children, eight of whom survived into adulthood. According to family history, a daughter, Mathilda, was abducted from the home as a toddler by raiding Indians. A group from the nearby Powderhouse Hill neighborhood formed a posse and brought her back. Located along Texas' western frontier, San Antonio was prey to such attacks throughout much of the early 1800s. Anna Barbara worked as a midwife. Johann (or John), a stonemason, worked on the church, rectory, and St. Joseph's Society's Hall of St. Joseph's Catholic Church, a German parish established in 1871. He probably built his homes on this site, beginning work on this larger house between 1882 and 1884. The west side of the structure abuts the Acequia Madre, also known as the Alamo Madre, a major canal built by Franciscan friars and their Indian converts to provide water for Mission San Antonio de Valero (The Alamo) and its farmlands. Originally covered with lime wash, the limestone and caliche rock house is typical of the Texas German vernacular style once common in the city. The Heidgen family lived here until 1907. Today, the Heidgen House is a significant example of an architectural form once common throughout San Antonio. It is a rare reminder of the city's early residential neighborhoods on the edge of the downtown commercial district. Recorded Texas Historic Landmark - 2003",False,False,True
13156,5029013156,William and Mary Ann Richter House,"Richter, William and Mary Ann, House","419 S. Presa St.                                                                                                                                                                   ",San Antonio,Bexar,15,14,549570,3254177,"houses, residential buildings; vernacular (Architectural term); medical topics and health professionals",2002,True,False,"S. Presa Street, W side between Arciniega Street and E. Cesar Chavez Blvd.",False,In Situ,"18"" x 28""","La Villita neighborhood reflects the influence of immigrants as San Antonio grew, from Spanish settlers in the late 1760s, to German, Swiss and French families coming in the 1840s. Records indicate William and Mary Ann (Mozer) Richter, both German immigrants, built their home here in 1868-69, reportedly for access to leeches in the acequia, or irrigation ditch. A barber, licensed also as surgeon and dentist, Richter used the leeches in his practice. His heirs sold the home in 1947 to the Vsidro Zepeda family, who occupied it until the 1990s. Retaining its historic design, the stuccoed limestone building serves as a reminder of the early German population of the city. Recorded Texas Historic Landmark - 2002",False,False,True
13262,5029013262,John T. Floore Country Store,"Floore, John T., Country Store","14492 Old Bandera Rd                                                                                                                                                                                    ",Helotes,Bexar,15,14,529971,3272043,"Business topics, music",2004,False,False,near entrance,False,In Situ,"27"" x 42""","In 1945, as the Second World War drew to a close, John T. Floore, manager of San Antonio's Majestic Theatre, purchased land in this vicinity. He created the Floore Subdivision, planning it as a center for the community of Helotes, which had developed at the site of a centuries-old stream crossing for travelers. Floore and his wife originally operated a Red and White Store. Following the example of Bert Hileman, who owned an early dance hall in Helotes, Floore built a store and dance hall at this site circa 1946, offering ""bar, café, dance, meats, groceries, real estate and every thing nearly at Floore Country Store."" A noted promoter, Floore featured country music acts big and small; notables included Bob Wills, Patsy Cline, Hank Williams, Kitty Wells and Elvis Presley. Residents came from nearby communities for the regular shows. Floore also promoted the Helotes community, helping establish the local volunteer fire department and Lions Club. In addition, he edited the Helotes Echo newspaper, and his articles were said to be instrumental in the creation of the Northside Independent School District for Helotes-area students. His business establishment served as a gathering place for several organizations and events, including the annual Helotes Cornyval Festival. Since Floore's death in 1975, his legacy has continued. Helotes incorporated in 1981 in order to preserve a separate identity from the ever-growing city of San Antonio. With the continuation of musical acts at Floore's County Store, and through the local organizations that grew out of Floore's ideas and civic efforts, the community of Helotes maintains a link to its early years as a stop for refreshment and entertainment at the edge of the Texas Hill Country. (2005)",False,False,True
13266,5029013266,Belgian Transit of Venus Observation Site,Belgian Transit of Venus Observation Site,N. Palmetto Ave.,San Antonio,Bexar,15,14,551842,3257162,scientific topics,2004,False,False,"N. Palmetto, east side, between E. Grayson and Quitman",False,In Situ,"27"" x 42""","The year 1639 marked the first recorded observation of Venus crossing the sun. Sir Edmund Halley (1656-1742) later predicted that using data from such crossings, known as transits, scientists could precisely quantify the astronomical unit of distance and measure the size of the solar system. The transits of Venus predicatably come in pairs, eight years apart, approximately every 120 years. Scientists from around the world traveled to observation sites during the next events, in 1761 and 1769, but timing of the transits was difficult due to the ""black drop effect,"" in which two objects against a bright background appear to blend. For more than a century, astronomers prepared for the next opportunity to record Venus' transit. Jean-Charles Houzeau (1820-1888) was a Belgian astronomer with an eclectic history. From 1859 to 1861, he worked as a surveyor in Uvalde, Texas. An abolitionist, he left Texas at the start of the Civil War. In the late 1870s, he returned to Belgium, where he became director of the Royal Observatory and planned the Belgian teams that would go to the western hemisphere to observe the December 1882 transit of Venus. He chose one site in Chile and one (22 feet east) in San Antonio. Good observations required clear skies, and San Antonio offered the chance of favorable weather, as well as good logistics for communication and transportation. A U.S. Naval Observatory team observed from a site on the grounds of nearby Fort Sam Houston. Using a heliometer, a device he had developed for the observation, Houzeau obtained 124 photographic plates of Venus silhouetted against the sun. Because of clearer conditions, the team in Chile obtained 606. The Belgian findings equaled those of larger nations, and Houzeau's decision to bring an international team to San Antonio provided the city recognition as part of astronomical history. (2005)",False,False,True
13322,5507013322,Site of the Old Adobe,"Adobe, Site of the old",135 W.Commerce St.,San Antonio,Bexar,15,14,549512,3255083,churches,1965,False,False,"135 W. Commerce, San Antonio",False,In Situ,"18"" x 28""",1846-1868 Site of the Old Adobe First Presbyterian Church in San Antonio. Built by Rev. John McCullough (1805-1870). Used by all Protestant faiths. Plastered rock construction (1965),False,False,True
13323,5507013323,Alamo Iron Works,Alamo Iron Works,101 Montana Street,San Antonio,Bexar,15,14,550462,3254486,irons and steel,1979,False,False,,False,In Situ,"27"" x 42""","George Edward Holmgreen (1822-1899) migrated from his native Prussia to this country with his wife Bertha. From Florida, he made his way in the early 1870s to San Antonio. Holmgreen soon became the owner of Schuhle and Nixon Alamo Iron Works. The company made iron and brass castings and forged wrought iron railings and other parts needed in the early days of this frontier town. In 1884 the company moved from the corner of Market and Presa Streets on the San Antonio River to this location which was outside the city. A trail had to be cleared through mesquite brush to move the machinery. In the early days, muscles and steam engines were used to power the shops. Delivery was made by horsedrawn wagons. As products and services were needed by south Texas ranches and industries, the Alamo Iron Works secured or manufactured them. Where cast iron bridges and building components were once made, modern steels and alloys go into manufacturing. The company's present work force of more than 500 is represented by third and fourth generation employees. (1979)",False,False,False
13324,5507013324,The Alamo,"Alamo, The",300 Alamo Plaza,San Antonio,Bexar,15,14,549834,3255262,"forts; Roman Catholic denomination; Texas Revolution, Republic of Texas; ecclesiastical buildings; missions",1962,True,False,Alamo Plaza; MARKER REPORTED MISSING 5/2011,False,Missing,RTHL medallion,[no text--medallion only],False,False,False
13326,5507013326,Aldrete Houses,Aldrete Houses,326 E Nueva Street,San Antonio,Bexar,15,14,549291,3254773,,1966,True,False,,False,In Situ,RTHL medallion and plate,,False,False,False
13330,5507013330,Hendrick Arnold,"Arnold, Hendrick",Straus-Medina Road,San Antonio,Bexar,15,14,527151,3246096,ranches/ranching; African American topics,1936,False,False,"Straus-Medina Ranch, Arnold Cemetery",False,In Situ,1936 Texas Centennial grave marker (gray granite),"Participated in the capture of Bexar, December 5 to 10 1835 - - - Born in Kentucky 1804 - Died November 9, 1849 Erected by the State of Texas 1936",False,False,True
13333,5507013333,Col. George Wythe Baylor,"Baylor, Col. George Wythe",,San Antonio,Bexar,15,,,,military topics,1936,False,False,"Confederate Cemetery, (City Cemetery #4)",False,In Situ,1936 Texas Centennial,,False,False,True
13340,5507013340,Casa Villita,Casa Villita,511 Villita St,San Antonio,Bexar,15,14,549608,3254770,,1962,True,False,,False,In Situ,RTHL medallion,,False,False,True
13344,5507013344,Dominguez-Micheli Houses,Dominguez-Micheli Houses,228 Arciniega St,San Antonio,Bexar,15,,,,,1967,True,False,,False,In Situ,RTHL medallion and plate,,False,False,False
13345,5507013345,Father of Mexican Independence,Father of Mexican Independence,,San Antonio,Bexar,15,,,,Presbyterian denomination,1965,False,False,Romana Plaza (In front of Baptist Memorial Hospital),False,In Situ,P,,False,False,False
13349,5507013349,Fest-Steves Block,Fest-Steves Block,115 Plaza de Armas,San Antonio,Bexar,15,14,548997,3255212,"markets, merchantiles",1977,True,False,MARKER REPORTED MISSING 5/2011,False,Missing,"18"" x 28""","This complex of four Victorian commercial structures faces Plaza de Armas, once the site of a colorful open-air market. German-born Edward Steves, A city alderman and lumber yard owner, erected the first of the 2-story buildings in 1880 on a lot next to the Spanish Governor's Palace. In 1884 Simon Fest built the adjacent Fashion Theatre and by 1888 completed two similar structures. Two of the limestone facades were destroyed in an 1891 fire and rebuilt with more elaborate brick detailing. From 1890 to 1968, Heusinger Hardware occupied part of the property. Recorded Texas Historic Landmark-1977",False,False,True
13350,5507013350,Fiesta House,Fiesta House,299 S Alamo St,San Antonio,Bexar,15,,,,,1962,True,False,,False,In Situ,RTHL medallion,,False,False,True
13352,5507013352,Site of Original Building_First Baptist Church,"First Baptist Church, Site of Original Building",E. Travis St.,San Antonio,Bexar,15,14,549625,3255501,Baptist denomination; churches,1967,False,False,SE corner Travis and Jefferson streets,False,In Situ,"18"" x 28""","Organized Jan. 20, 1861, by Missionary Pastor, the Rev. John H. Thurmond. A two-story, 40' x 60' church of white limestone built 1872 to 1877 was the first permanent home. The parsonage adjoined. Services held here until 1905, when church moved to site at 4th and Taylor. (1967)",False,False,True
13353,5507013353,Site of First Portland Cement Plant,"First Portland Cement Plant, Site of",,San Antonio,Bexar,15,,,,manufacturing,1966,False,False,St. Mary's Ave. at Brackenridge Park,False,In Situ,,,False,False,False
13354,5507013354,Gilbeau Slave Quarters,Gilbeau Slave Quarters,526 S Main St,San Antonio,Bexar,15,,,,African American topics,1965,True,False,,False,In Situ,medallion only,,False,False,False
